"id","geom","longitud","latitud","concello_id","ubicacion","km"
226,POINT (-8.645111407700016 42.521590851953555),-8.645111407700016,42.521590851953555,Barro,66024,56.25
227,POINT (-8.6454196625443 42.51967215250203),-8.6454196625443,42.51967215250203,Barro,66024,56.5
228,POINT (-8.646566992265198 42.5178859519351),-8.646566992265198,42.5178859519351,Barro,66024,56.75
229,POINT (-8.647976078776537 42.51589185363621),-8.647976078776537,42.51589185363621,Barro,66024,57.0
230,POINT (-8.649216425302058 42.51376629075588),-8.649216425302058,42.51376629075588,Barro,66024,57.25
231,POINT (-8.650210963691013 42.51161948265927),-8.650210963691013,42.51161948265927,Barro,66024,57.5
232,POINT (-8.649037515249287 42.510293155390684),-8.649037515249287,42.510293155390684,Barro,66024,57.75
233,POINT (-8.649015537065742 42.50789193884876),-8.649015537065742,42.50789193884876,Barro,66024,58.0
234,POINT (-8.649433597309578 42.50553468522974),-8.649433597309578,42.50553468522974,Barro,66024,58.25
235,POINT (-8.650913461050267 42.50373163250692),-8.650913461050267,42.50373163250692,Barro,66024,58.5
236,POINT (-8.649997361197924 42.50156098492766),-8.649997361197924,42.50156098492766,Barro,66024,58.75
237,POINT (-8.649627249345954 42.49945860114547),-8.649627249345954,42.49945860114547,Barro,66024,59.0
238,POINT (-8.648993073884256 42.49718145090657),-8.648993073884256,42.49718145090657,Barro,66024,59.25
239,POINT (-8.648511143174842 42.49490404723945),-8.648511143174842,42.49490404723945,Pontevedra,71954,59.5
240,POINT (-8.648449094416238 42.49256695673543),-8.648449094416238,42.49256695673543,Pontevedra,71954,59.75
241,POINT (-8.649310209225815 42.490344612493075),-8.649310209225815,42.490344612493075,Pontevedra,71954,60.0
242,POINT (-8.65002538137462 42.488085667868056),-8.65002538137462,42.488085667868056,Pontevedra,71954,60.25
243,POINT (-8.650622331266486 42.48579393093456),-8.650622331266486,42.48579393093456,Pontevedra,71954,60.5
244,POINT (-8.650865629941343 42.48338298692602),-8.650865629941343,42.48338298692602,Pontevedra,71954,60.75
245,POINT (-8.65069742117868 42.48097972175654),-8.65069742117868,42.48097972175654,Pontevedra,71954,61.0
